TimeStamp,GazePointX,GazePointY
0,,
4,,
8,,
12,,
16,,
20,,
24,,
28,,
32,,
36,,
40,,
44,,
48,,
52,,
56,,
60,,
64,,
68,,
72,,
76,,
80,,
84,,
88,,
92,,
96,,
100,,
104,,
108,,
112,,
116,,
120,,
124,,
128,,
132,,
136,,
140,,
144,,
148,,
152,,
156,,
160,,
164,,
168,,
172,,
176,,
180,,
184,,
188,959.3923,539.9919
192,,
196,954.0269,546.006
200,953.8473,544.847
204,961.2655,553.5607
208,966.1723,547.1033
212,956.9246,543.1694
216,955.7208,544.3885
220,960.6808,549.1628
224,951.4692,544.6855
228,953.6612,550.3453
232,953.163,551.1097
236,962.6456,552.1277
240,951.7371,524.7656
244,952.917,551.8013
248,954.4789,547.2842
252,951.1048,554.3776
256,955.719,556.8369
260,961.8958,548.6508
264,955.2633,546.6498
268,954.601,547.5864
272,955.2999,557.2363
276,956.4213,547.8375
280,954.3684,547.1946
284,951.6553,543.1112
288,952.5902,540.4132
292,963.3172,547.9945
296,957.2164,541.5029
300,955.2015,543.6425
304,961.2429,545.5688
308,961.8947,541.8647
312,959.1029,550.1892
316,955.0743,552.0221
320,959.1429,563.0869
324,951.8972,565.1194
328,957.4988,546.1403
332,944.0586,539.9852
336,956.6759,544.6116
340,954.5823,550.1452
344,964.0726,544.6894
348,958.4072,543.015
352,958.9661,553.9298
356,955.6729,548.3053
360,956.2731,545.9395
364,959.9503,553.1234
368,955.6383,553.2285
372,957.1159,529.9767
376,956.5764,549.3204
380,955.9105,545.9632
384,960.6941,545.2082
388,940.2179,526.5827
392,959.1703,543.8707
396,951.4829,552.5319
400,949.0469,539.0533
404,958.7339,532.1255
408,962.8237,549.5407
412,955.5237,536.3957
416,952.908,540.7359
420,960.2767,540.2423
424,952.7871,536.3987
428,957.3265,535.3633
432,955.6357,534.9034
436,963.7881,541.8504
440,957.0705,537.7657
444,953.2784,542.7058
448,961.5727,532.8761
452,954.3506,537.6344
456,963.9496,529.8599
460,954.0812,526.1626
