TimeStamp,GazePointX,GazePointY
0,,
4,,
8,,
12,,
16,,
20,,
24,,
28,,
32,,
36,,
40,,
44,,
48,,
52,,
56,,
60,,
64,,
68,,
72,,
76,,
80,,
84,,
88,,
92,975.7307,547.6855
96,974.3358,555.3381
100,,
104,972.9829,551.404
108,,
112,,
116,970.6198,551.6393
120,,
124,,
128,973.603,546.6728
132,,
136,,
140,955.2168,549.4838
144,,
148,,
152,969.357,541.0537
156,,
160,,
164,961.1504,558.0613
168,970.1012,546.9032
172,959.3814,545.9817
176,964.7067,549.7516
180,967.3338,553.1085
184,967.2291,551.2544
188,975.559,544.5686
192,971.867,541.7106
196,972.0895,538.9924
200,964.3632,546.984
204,971.3796,544.8422
208,958.6231,545.2229
212,974.4355,542.6562
216,963.7647,535.5018
220,969.1915,534.9056
224,964.2643,548.6413
228,951.6406,547.5952
232,962.5375,542.3117
236,962.6348,547.1126
240,970.9933,546.9171
244,962.9098,544.4506
248,966.6127,543.3558
252,964.232,550.3204
256,953.0661,545.196
260,964.3484,540.7407
264,962.4162,535.1808
268,963.6807,540.2094
272,960.7675,548.8566
276,957.8369,557.7438
280,968.2397,551.8953
284,968.1086,547.2744
288,952.6032,545.7262
292,967.3408,543.0751
296,968.9274,540.8531
300,965.6573,548.1478
304,955.5821,562.7425
308,957.6256,548.0665
312,975.0666,545.614
316,973.2507,561.0022
320,981.3051,572.5454
324,984.8849,553.8673
328,964.9253,590.2856
332,970.4513,558.5156
336,973.0912,545.5513
340,966.9471,565.403
344,965.5198,583.9786
348,973.4461,574.0826
352,960.6693,562.5463
356,967.0822,577.9992
360,961.0431,573.5729
364,966.6508,579.2161
368,963.5696,580.7847
372,968.3587,570.0885
376,966.4371,580.3205
380,967.2041,575.8519
384,964.5566,559.5221
388,964.3451,568.448
392,973.7662,546.2231
396,974.3471,566.5322
400,969.5802,562.3698
404,979.3489,556.0556
408,980.3774,564.0171
412,980.3148,564.4135
416,968.2214,566.9416
420,961.101,554.0325
424,975.634,569.482
