TimeStamp,GazePointX,GazePointY
0,,
4,,
8,,
12,,
16,,
20,,
24,,
28,,
32,,
36,,
40,,
44,,
48,,
52,,
56,,
60,,
64,,
68,,
72,,
76,,
80,,
84,,
88,,
92,990.0352,550.1367
96,,
100,977.9743,573.2157
104,,
108,,
112,978.8603,574.6059
116,,
120,,
124,954.3306,575.7364
128,,
132,,
136,963.4038,534.4037
140,,
144,,
148,963.7587,581.065
152,,
156,,
160,970.1115,570.5407
164,,
168,,
172,992.8899,564.5945
176,984.4847,580.9454
180,991.1259,572.8044
184,984.7791,584.2627
188,966.4181,585.4333
192,987.29,577.1921
196,989.6934,548.3135
200,975.5377,577.5205
204,967.5774,561.6466
208,971.7729,561.5184
212,958.9668,586.346
216,973.3722,574.0516
220,970.9462,577.7434
224,975.1373,560.0335
228,965.7347,580.96
232,965.8546,569.3686
236,964.1357,579.4589
240,973.1752,570.5865
244,971.4591,547.6461
248,968.9012,581.1674
252,962.4863,574.0551
256,966.566,577.7505
260,972.2611,563.3353
264,968.0081,567.2766
268,970.1354,555.269
272,974.3303,572.2388
276,958.4442,575.3443
280,979.2422,569.7737
284,979.6103,584.6556
288,971.6087,573.0932
292,976.3201,558.2735
296,963.7584,570.5193
300,979.4684,584.2367
304,969.8064,567.7813
308,972.9507,560.1725
312,967.5626,551.7372
316,966.326,555.4708
320,967.9141,569.2284
324,978.707,578.8058
328,978.8373,578.9052
332,958.0567,556.9861
336,965.0449,585.5152
340,972.8946,558.0703
344,959.4565,571.5934
348,958.3275,567.0238
352,963.2537,583.717
356,957.9291,567.3831
360,955.7407,572.1229
364,966.1242,567.1021
368,972.7725,563.3403
372,961.0114,555.6522
376,965.7103,569.875
380,949.5137,567.7048
384,972.1095,528.1879
388,967.5252,567.6543
392,967.6379,577.9903
396,958.5408,567.1099
400,968.1352,554.8366
404,967.0011,578.6268
408,967.5778,580.4149
412,972.5272,579.0993
416,975.6386,573.9247
420,973.6602,573.3763
424,968.1755,576.7984
428,962.007,578.6825
