TimeStamp,GazePointX,GazePointY
0,,
4,,
8,,
12,,
16,,
20,,
24,,
28,,
32,,
36,,
40,,
44,,
48,,
52,,
56,,
60,,
64,,
68,,
72,,
76,,
80,,
84,,
88,,
92,,
96,,
100,,
104,,
108,,
112,,
116,,
120,,
124,,
128,,
132,,
136,,
140,,
144,,
148,,
152,,
156,,
160,,
164,,
168,,
172,,
176,,
180,,
184,,
188,950.9854,552.2202
192,,
196,968.183,554.408
200,961.9466,545.6359
204,958.3076,545.2949
208,957.6131,544.6874
212,955.8028,542.4258
216,961.4903,551.6421
220,956.1842,553.2302
224,955.8939,540.815
228,957.2745,541.5847
232,960.9799,537.2833
236,948.2383,551.5757
240,961.3507,545.0445
244,956.2815,539.5053
248,960.193,544.593
252,955.3643,538.9786
256,960.1848,543.4162
260,953.3583,546.6514
264,955.325,544.6015
268,960.2883,542.2249
272,957.9299,552.3196
276,961.2936,547.601
280,954.0526,542.5822
284,959.173,540.469
288,958.6439,537.1585
292,956.2339,543.6345
296,956.5802,546.1561
300,954.5984,551.5133
304,959.3833,539.8245
308,954.4286,540.1362
312,958.5405,541.3342
316,954.851,546.6488
320,954.7436,543.8115
324,959.2405,547.6961
328,955.6436,545.4053
332,960.0005,544.5673
336,964.2717,540.505
340,960.2917,536.2251
344,955.2062,543.5017
348,954.0657,553.7106
352,963.3003,542.4919
356,963.5733,546.1539
360,968.8973,533.5776
364,962.8925,545.8509
368,960.2215,533.2589
372,959.7904,542.686
376,962.6512,541.2756
380,960.7875,535.3259
384,963.6055,540.2417
388,959.5833,534.0321
392,964.9629,538.612
396,960.4574,541.0925
400,951.6283,543.3464
404,956.8953,537.0007
408,942.2822,542.0315
412,957.8113,533.4367
416,963.5774,543.302
420,955.6674,546.3614
424,964.1017,555.9164
428,947.9279,534.7833
432,963.7524,544.5306
436,958.5666,551.2044
440,958.9133,548.9459
444,964.4126,538.7333
448,959.2774,544.0622
452,952.172,539.9493
456,956.4877,535.749
460,967.6989,538.4944
464,960.8522,541.9763
