TimeStamp,GazePointX,GazePointY
0,,
4,,
8,,
12,,
16,,
20,,
24,,
28,,
32,,
36,,
40,,
44,,
48,,
52,,
56,,
60,,
64,,
68,,
72,,
76,,
80,,
84,,
88,,
92,,
96,,
100,,
104,,
108,1023.1281,589.4598
112,,
116,1019.3752,584.783
120,,
124,,
128,1018.7138,593.0612
132,,
136,,
140,1019.3008,580.7018
144,,
148,,
152,1007.1113,580.7456
156,,
160,,
164,1015.0793,564.1754
168,,
172,,
176,1029.2275,592.3267
180,1026.9014,558.3187
184,1030.8239,571.5863
188,1037.0377,571.9684
192,1022.5963,595.2742
196,1008.7657,587.8534999999999
200,1019.0696,570.2542
204,1015.5859,594.3684
208,1021.6125,592.8601
212,1011.0239,580.5101999999999
216,1008.5039,583.698
220,1030.2066,574.2691
224,1007.6749,565.5554
228,1031.6037,617.7934
232,1014.0532,564.6028
236,1004.6308,588.191
240,988.9497,558.3687
244,961.7859,543.5407
248,942.0301,533.4802
252,969.2723,541.7887
256,992.9072,547.599
260,991.5878,566.0983
264,983.4712,496.477
268,976.7638,568.1796
272,960.1481,531.4457
276,973.9474,512.0845
280,985.1065,558.6098
284,978.459,555.7313
288,974.6607,539.2983
292,985.3303,576.3093
296,980.6525,520.2707
300,990.0411,555.9281
304,974.0098,561.1951
308,988.3175,564.4789
312,975.012,525.5282
316,979.6446,545.2499
320,980.843,560.1511
324,977.2082,555.9591
328,962.2821,423.7477
332,980.8654,568.7382
336,975.5612,570.2971
340,981.4504,561.5766
344,975.6854,434.7843
348,976.7475,567.9578
352,969.1304,566.0845
356,963.5811,431.0126
360,972.1377,568.3819
364,973.2317,551.9873
368,980.7431,555.4849
372,969.8677,560.5451
376,974.0388,564.0892
380,971.6175,565.9566
384,974.808,566.7937
388,974.971,578.2186
392,989.9069,565.087
396,985.0968,557.9042
400,979.8253,573.543
404,958.1198,510.6024
408,983.2563,578.5846
412,984.3553,534.8446
416,981.1865,536.8479
420,963.2498,552.0491
424,977.0666,551.8586
