TimeStamp,GazePointX,GazePointY
0,,
4,,
8,,
12,,
16,,
20,,
24,,
28,,
32,,
36,,
40,,
44,,
48,,
52,,
56,,
60,,
64,,
68,,
72,,
76,,
80,,
84,,
88,,
92,957.535,522.3365
96,974.1162,549.6875
100,,
104,968.1785,499.3098
108,,
112,,
116,962.0026,522.0813
120,,
124,,
128,944.8143,543.6395
132,,
136,,
140,982.3766,529.8298
144,,
148,,
152,959.8926,532.5325
156,,
160,,
164,954.4531,521.9569
168,950.518,520.3503
172,977.1293,484.1489
176,945.3432,511.9291
180,949.8952,561.8566
184,965.1638,534.4148
188,958.1772,515.9497
192,948.158,537.4322
196,937.6852,507.2636
200,963.4346,488.4507
204,977.445,529.559
208,974.0727,543.1864
212,974.925,559.5479
216,960.8145,511.321
220,971.4779,496.5299
224,958.8508,517.408
228,955.6978,529.219
232,962.4741,518.8925
236,981.3663,495.2148
240,985.863,542.8979
244,964.3345,500.5283
248,969.5168,496.3562
252,978.8975,476.392
256,992.7254,482.0038
260,955.8067,524.8886
264,959.0413,522.2129
268,1004.0004,468.2972
272,968.2031,491.6166
276,952.6818,527.5187
280,970.0699,522.0927
284,973.9135,525.0057
288,976.7814,499.5354
292,962.3447,505.7099
296,958.0556,487.3094
300,967.5237,491.0591
304,983.4731,549.0628
308,958.256,489.8931
312,964.7954,487.4554
316,950.6415,512.4422
320,967.0823,506.286
324,970.0267,550.0204
328,974.5168,555.0334
332,953.0086,538.2942
336,1012.2574,513.1191
340,961.8285,517.8708
344,963.7468,542.9222
348,969.8936,510.6964
352,975.9456,515.8049
356,953.4444,529.3561
360,958.6841,504.6914
364,971.9987,527.6321
368,1001.959,559.138
372,1044.2337,564.0769
376,1083.3769,574.4328
380,1107.2974,621.636
384,1123.779,661.6709
388,1137.8461,679.0672
392,1138.7032,723.3380999999999
396,1140.8572,682.8279
400,1114.9001,689.6602
404,1110.9873,573.1961
408,1132.1478,696.1997
412,1085.7338,689.2607
416,1148.7179,677.7266999999999
