TimeStamp,GazePointX,GazePointY
0,,
4,,
8,,
12,,
16,,
20,,
24,,
28,,
32,,
36,,
40,,
44,,
48,,
52,,
56,,
60,,
64,,
68,,
72,,
76,,
80,,
84,,
88,,
92,955.726,575.1563
96,941.6478,572.9966
100,,
104,,
108,945.9459,572.7447999999999
112,,
116,,
120,949.1881,571.8276
124,,
128,,
132,943.032,598.3343
136,,
140,,
144,,
148,,
152,,
156,925.7562,569.7721
160,,
164,,
168,937.3335,595.1625
172,942.4243,576.4576
176,934.9892,581.9536
180,940.2812,576.9426
184,934.9706,571.8158
188,946.8236,578.3505
192,936.8556,576.114
196,957.4994,608.8639000000001
200,947.8651,574.9565
204,938.7137,594.1215
208,941.9461,573.0528
212,943.8973,581.2571
216,945.2878,591.6738
220,950.7969,594.9769
224,934.4355,585.2706000000001
228,948.8275,580.586
232,923.1644,619.5327
236,942.3298,575.8021
240,938.2659,586.0784
244,951.0814,609.0166
248,934.1908,600.2456999999999
252,928.2817,584.1518
256,928.5782,587.7256
260,948.7946,595.3154
264,950.4434,580.6413
268,945.2549,586.2216
272,912.3338,628.0985000000001
276,952.4989,592.2397
280,944.3208,575.9371
284,926.1273,591.0888
288,933.0975,578.8594
292,929.5088,582.7327
296,930.0025,591.4958
300,927.4028,623.1434
304,941.3145,559.726
308,931.7001,586.3337
312,958.8887,602.1574
316,937.4886,589.9488
320,951.9588,573.2102
324,925.5869,597.7866
328,922.3182,584.2161
332,938.3463,576.7825
336,940.7642,594.5747
340,940.3273,606.9027
344,966.5555,622.8721
348,967.7298,642.0964
352,988.9114,623.5261
356,1062.8267,632.5244
360,1094.1111,497.019
364,1007.7464,1203.4143
368,,
372,,
376,,
380,,
384,,
388,,
392,,
396,,
400,,
404,,
408,,
412,,
416,,
420,,
424,,
428,,
432,,
436,,
440,,
444,,
448,,
452,,
456,,
460,,
464,,
468,,
472,,
476,,
480,,
484,,
488,,
492,,
496,,
500,,
504,,
508,,
512,,
516,,
520,,
524,,
528,,
532,,
536,,
