TimeStamp,GazePointX,GazePointY
0,,
4,,
8,,
12,,
16,,
20,,
24,,
28,,
32,,
36,,
40,,
44,,
48,,
52,,
56,,
60,,
64,,
68,,
72,,
76,,
80,,
84,,
88,,
92,,
96,,
100,,
104,,
108,951.3684,500.0593
112,,
116,948.7185,530.4085
120,,
124,,
128,963.1044,527.0686
132,,
136,,
140,961.997,514.4132
144,,
148,,
152,982.1213,495.4266
156,,
160,,
164,958.5739,491.6536
168,,
172,,
176,958.1294,472.9763
180,973.1717,496.5542
184,969.7332,487.7209
188,953.1231,498.326
192,962.7973,489.4166
196,965.0241,494.5894
200,978.8862,496.84
204,971.1639,497.1919
208,978.1638,470.1848
212,968.451,486.4
216,959.8463,487.4731
220,974.2814,484.1128
224,971.3375,487.4898
228,961.4449,482.1498
232,973.014,502.1458
236,985.3984,507.9288
240,960.2229,516.135
244,968.2909,538.6363
248,943.8567,588.0241
252,1105.7603,804.3473
256,,
260,904.5531,1390.6383
264,,
268,,
272,,
276,,
280,,
284,,
288,,
292,,
296,,
300,,
304,,
308,,
312,,
316,,
320,,
324,,
328,,
332,,
336,849.1739,1343.3656
340,,
344,991.4841,1048.5107
348,999.6045,1102.7977
352,1005.4559,983.3073
356,1044.7594,913.034
360,941.9811,835.0536
364,964.3921,764.9777
368,890.7769,696.0166
372,972.1537,657.815
376,973.0146,598.3297
380,966.3635,568.0862
384,954.9506,527.5
388,969.8075,480.5715
392,962.6264,479.7777
396,976.231,458.4254
400,950.9741,489.0253
404,968.0265,461.221
408,959.5417,514.5076
412,968.1171,502.6018
416,950.2504,496.5656
420,978.6497,506.6175
424,963.445,510.1395
428,963.0509,494.0875
432,968.7839,497.4907
436,965.9034,504.6424
440,965.7318,510.7027
444,961.8946,512.817
448,952.0709,507.1408
452,954.0989,493.7848
456,964.8362,499.3464
460,971.6874,508.508
464,958.2108,505.2364
468,957.0952,487.4156
472,964.8422,491.1338
476,961.8222,501.5533
480,957.0728,506.086
484,979.5673,490.0518
488,974.7124,481.0052
