TimeStamp,GazePointX,GazePointY
0,,
4,,
8,,
12,,
16,,
20,,
24,,
28,,
32,,
36,,
40,,
44,,
48,,
52,,
56,,
60,,
64,,
68,,
72,,
76,,
80,,
84,,
88,,
92,,
96,,
100,,
104,,
108,,
112,,
116,,
120,,
124,,
128,,
132,,
136,,
140,,
144,,
148,,
152,,
156,,
160,,
164,,
168,,
172,,
176,,
180,,
184,,
188,,
192,,
196,,
200,,
204,,
208,,
212,,
216,,
220,,
224,,
228,,
232,,
236,,
240,,
244,,
248,,
252,,
256,,
260,,
264,,
268,,
272,,
276,,
280,,
284,,
288,,
292,,
296,914.2634,758.0509
300,,
304,,
308,962.6067,615.6943
312,,
316,903.3509,825.3240000000001
320,945.6763,701.5177
324,891.2932,664.3759
328,886.6121,622.4517
332,918.0331,606.3364
336,970.498,441.4321
340,979.1859,479.937
344,951.5541,566.0562
348,942.9781,562.7327
352,949.8013,557.1079
356,951.1299,550.1106
360,955.4712,543.4855
364,952.2549,526.4406
368,963.4968,508.6502
372,964.0203,536.5191
376,952.9189,489.1196
380,955.1326,491.8322
384,960.6089,492.4825
388,965.0152,500.1834
392,961.8703,499.7573
396,964.1603,507.2143
400,959.1568,497.9479
404,957.5924,513.6532
408,950.4646,528.4206
412,950.7863,520.5938
416,954.5588,532.8138
420,952.9341,545.1371
424,945.5633,505.4464
428,963.0056,529.2988
432,959.8005,536.1336
436,949.9492,526.5628
440,949.7339,532.4738
444,955.7276,532.9974
448,957.733,538.6721
452,943.5291,531.1425
456,949.3036,537.1049
460,956.1233,539.5216
464,963.6263,546.125
468,958.3818,540.0468
472,950.5403,527.4473
476,960.4758,533.8351
480,943.0942,508.043
484,958.1475,520.4916
488,962.8618,523.8658
492,964.4642,524.0024
496,960.5285,510.4003
500,963.1389,509.2497
504,967.3693,516.066
508,955.9126,509.276
512,964.7836,512.2292
516,962.3446,507.811
520,957.8915,518.968
524,959.2939,514.1239
528,958.7419,509.8624
532,958.6169,517.0484
536,962.8219,516.8313
