TimeStamp,GazePointX,GazePointY
0,,
4,,
8,,
12,,
16,,
20,,
24,,
28,,
32,,
36,,
40,,
44,,
48,,
52,,
56,,
60,,
64,,
68,,
72,,
76,,
80,,
84,,
88,,
92,,
96,,
100,,
104,,
108,,
112,,
116,,
120,,
124,944.2682,545.7984
128,952.1242,543.0011
132,955.0381,551.2898
136,,
140,,
144,956.4246,555.3524
148,,
152,,
156,962.5556,552.3335
160,,
164,,
168,956.1931,545.5426
172,959.0223,541.7699
176,956.0739,546.3785
180,959.3429,544.1331
184,956.6264,565.2085
188,950.2598,543.4918
192,960.7837,541.4872
196,958.1843,541.4654
200,954.6469,545.9823
204,954.9134,543.977
208,956.2276,551.0482
212,,
216,953.8468,549.5895
220,950.8046,538.3153
224,948.8029,543.8374
228,949.216,547.2808
232,948.2873,548.3757
236,954.3003,550.1658
240,949.8301,551.9113
244,957.3389,539.3826
248,948.9414,546.6061
252,949.333,554.1589
256,951.8206,552.788
260,954.0311,544.2061
264,955.6501,547.9104
268,962.7394,542.8753
272,952.5307,552.145
276,955.6923,547.9816
280,957.1607,543.7929
284,959.0693,547.0211
288,947.8484,548.5417
292,959.1399,546.4439
296,963.5192,551.1435
300,954.3043,542.9995
304,950.2217,540.0389
308,956.1618,544.0637
312,955.6145,544.4212
316,955.4019,543.5407
320,963.3181,541.0865
324,957.2807,539.8783
328,961.8368,548.0999
332,960.955,535.0051
336,960.037,533.572
340,966.1224,538.5171
344,961.4439,545.5674
348,967.4141,539.7057
352,966.7203,542.125
356,960.6503,545.153
360,962.3337,542.0394
364,963.4471,544.1629
368,962.4731,544.4921
372,965.5032,541.8252
376,959.1831,547.3202
380,957.1008,550.0038
384,961.3716,548.5122
388,959.2807,540.9764
392,959.5354,547.5062
396,954.2899,547.9107
400,953.1037,550.4106
404,957.1701,543.1116
408,962.7393,556.9054
412,962.9357,542.0004
416,965.7826,551.3571
420,963.6389,536.9823
424,966.1678,539.637
428,961.8994,557.5027
432,955.8224,546.5455
