TimeStamp,GazePointX,GazePointY
0,,
4,,
8,,
12,,
16,,
20,,
24,,
28,,
32,,
36,,
40,,
44,,
48,,
52,,
56,,
60,,
64,,
68,,
72,,
76,968.6919,515.4616
80,975.7713,513.6993
84,966.6522,530.7094
88,,
92,,
96,973.4018,511.4945
100,,
104,,
108,967.517,538.6351
112,,
116,,
120,968.7687,535.2585
124,,
128,,
132,961.2521,540.0797
136,,
140,,
144,971.2221,515.2986
148,,
152,,
156,964.9204,505.5686
160,977.9339,541.5724
164,969.3178,528.9389
168,969.8946,528.298
172,966.7807,512.6985999999999
176,971.7666,512.3706
180,973.4665,520.1088
184,968.0414,531.383
188,968.5839,526.5518
192,971.6623,549.2783
196,970.3136,536.3025
200,972.3235,534.0754
204,959.3093,530.5022
208,967.7327,507.4307
212,966.737,514.1326
216,955.0161,530.4311
220,960.2002,504.3838
224,975.5407,530.2071
228,969.7247,497.1084
232,970.5497,531.7688
236,966.9771,532.3904
240,970.1951,505.883
244,964.5265,531.8809
248,969.1058,533.3196
252,968.3363,541.0307
256,963.375,557.9218
260,962.0953,540.7697
264,976.2475,524.3419
268,964.4768,547.2013
272,962.0793,493.4007
276,965.7116,514.3533
280,982.3793,551.5573
284,972.9323,540.0357
288,965.1361,545.9197
292,971.8936,540.6294
296,966.7274,554.1078
300,965.7877,502.3474
304,961.5932,477.157
308,968.1071,553.3081
312,973.4363,530.447
316,962.9687,541.9258
320,972.2773,530.2795
324,959.2092,538.5294
328,974.1444,542.3903
332,973.1995,561.1707
336,973.8857,551.8046
340,969.4775,533.9533
344,972.819,548.5243
348,972.5975,541.2165
352,974.877,534.9005
356,968.5359,535.7731
360,966.4282,558.7272
364,965.9767,526.9559
368,964.6007,548.787
372,969.7904,522.4805
376,962.9411,533.7576
380,982.2871,536.1415
384,1002.9861,549.8539
388,970.0915,547.9763
392,971.7932,556.2782
396,971.6107,522.0431
400,974.5517,538.9105
404,965.0244,561.2262
408,969.3807,546.1654
412,965.3573,542.0983
