TimeStamp,GazePointX,GazePointY
0,,
4,,
8,,
12,,
16,,
20,,
24,,
28,,
32,,
36,,
40,,
44,,
48,,
52,,
56,,
60,,
64,,
68,,
72,,
76,744.3295,825.9373
80,940.0325,498.478
84,,
88,,
92,,
96,,
100,945.4384,501.1778
104,,
108,,
112,,
116,,
120,,
124,958.2776,520.4612
128,,
132,,
136,,
140,,
144,966.5205,522.8089
148,,
152,,
156,,
160,,
164,925.1246,512.1841
168,956.2816,515.0402
172,948.0043,487.3382
176,974.5547,508.6193
180,943.1292,501.7702
184,939.8181,536.0535
188,938.2759,492.6993
192,947.6427,497.7351
196,950.2856,539.611
200,959.571,495.9069
204,955.686,506.8203
208,950.5655,507.5465
212,953.3605,486.7984
216,957.3525,514.3019
220,940.3856,494.8727
224,925.9313,524.3955
228,932.2145,490.3454
232,950.9015,510.1866
236,947.6511,555.3871
240,961.0399,505.8259
244,943.3589,510.7536
248,964.8863,505.9792
252,950.3893,529.1607
256,954.0592,499.5821
260,951.2594,518.5728
264,956.8371,505.3905
268,974.1007,519.3566
272,952.8006,511.6151
276,956.4417,511.9712
280,959.0462,521.6299
284,970.2842,520.5415
288,958.8807,527.7554
292,948.4672,511.6387
296,953.7281,508.0924
300,951.6445,520.101
304,940.4883,524.771
308,967.3393,521.8661
312,936.3913,515.0346
316,960.3532,516.9272
320,961.0412,513.1682
324,952.3717,514.4021
328,947.5315,506.584
332,958.4559,516.9058
336,959.3516,513.3804
340,956.7377,504.8223
344,951.1981,505.8636
348,949.8486,513.9635
352,954.1921,503.8591
356,965.1137,504.109
360,968.8555,537.9085
364,954.2443,502.9737
368,947.2745,508.3492
372,971.4562,515.0883
376,966.3356,518.743
380,946.9427,515.9291
384,950.6773,515.2972
388,972.6948,522.1653
392,972.2445,517.6633
396,953.1662,516.1811
400,958.3744,515.0068
404,951.7467,506.5117
408,942.4522,514.4147
412,966.1695,510.138
416,956.1671,524.9015
420,965.5559,513.5132
424,967.1846,503.7389
428,972.8063,517.38
