TimeStamp,GazePointX,GazePointY
0,,
4,,
8,,
12,,
16,,
20,,
24,,
28,,
32,,
36,,
40,,
44,,
48,,
52,,
56,,
60,,
64,,
68,,
72,,
76,,
80,,
84,,
88,,
92,,
96,,
100,,
104,,
108,971.7614,503.2394
112,,
116,973.2479,498.4053
120,,
124,,
128,981.9944,503.6986
132,,
136,,
140,950.2829,522.5072
144,,
148,,
152,808.6183,500.3764
156,,
160,,
164,794.925,485.3235
168,,
172,,
176,816.3344999999999,485.7274
180,788.0752,479.5676
184,776.9112,476.0345
188,765.6685,476.7099
192,750.7215,517.4631
196,783.7896000000001,494.5929
200,793.9004,492.7361
204,794.3154,501.5883
208,805.6145,481.8166
212,799.2139999999999,485.2383
216,788.9248,501.1841
220,783.1650999999999,469.3872
224,786.5553,523.9809
228,799.746,585.0983
232,852.1556,715.4463000000001
236,819.7346,773.8935
240,1028.168,1028.8611
244,,
248,,
252,,
256,,
260,,
264,,
268,,
272,,
276,,
280,,
284,,
288,,
292,,
296,,
300,,
304,,
308,,
312,,
316,,
320,886.3478,1239.6272
324,976.8529,1151.8811
328,968.8385,1048.5768
332,989.4759,963.6809
336,1054.6228,1037.9209
340,1050.3953,944.4649
344,1027.4955,885.7663
348,1087.9508,826.7556
352,1054.7132,774.7905000000001
356,1025.5507,712.2835
360,1006.6366,665.9219
364,979.0739,623.7789
368,961.6776,581.825
372,960.7559,547.8287
376,948.3124,522.9154
380,965.9054,505.2805
384,966.7492,536.3059
388,955.7204,516.1519
392,965.1979,520.2207
396,971.5241,537.7967
400,970.4193,540.1758
404,964.1987,526.454
408,966.861,533.4631
412,956.3915,523.9567
416,957.5758,515.3189
420,965.04,528.6047
424,957.7253,519.6024
428,954.7947,517.2508
432,943.9875,527.0721
436,957.1322,511.7311
440,965.9843,519.5138
444,965.0469,519.606
448,952.3972,529.4393
452,953.0661,524.0125
456,954.5483,509.6516
460,960.6669,507.5498
464,952.6105,519.1651
468,955.9416,522.4433
472,958.4458,512.2741
