TimeStamp,GazePointX,GazePointY
0,,
4,,
8,,
12,,
16,,
20,,
24,,
28,,
32,,
36,,
40,,
44,,
48,,
52,,
56,,
60,,
64,,
68,,
72,,
76,,
80,,
84,,
88,,
92,923.2978,615.0319
96,,
100,917.7745,606.4298
104,,
108,,
112,915.7158,613.9965
116,,
120,,
124,923.8503,614.087
128,,
132,,
136,918.4448,615.2569
140,,
144,,
148,916.5854,606.5049
152,,
156,,
160,920.2169,611.4918
164,,
168,,
172,928.3276,598.9838
176,932.8847,601.9518
180,919.6145,613.731
184,917.2964,600.7
188,934.35,617.5994000000001
192,923.8786,600.3945
196,920.0626,596.4946
200,929.2209,600.0355
204,922.7767,581.0773
208,924.9965,593.8356
212,953.8155,599.4372
216,934.7351,608.3352
220,935.0008,610.6286
224,946.6346,614.297
228,920.9248,604.9562
232,935.9536,598.5906
236,936.4986,613.4016
240,,
244,926.3837,617.6212
248,939.291,602.1457
252,929.5496,599.1898
256,933.7875,607.4811
260,921.1608,615.0496
264,914.7254,599.9033
268,929.5201,608.4778
272,934.5458,609.9954
276,929.2673,600.3299
280,906.9566,610.6135
284,936.6812,611.509
288,927.8831,613.2438999999999
292,920.4585,607.6834
296,945.2469,617.0989
300,1054.3443,738.1981000000001
304,930.6855,602.2235000000001
308,931.0871,635.5466
312,930.5263,603.5702
316,926.7811,612.6809
320,961.8304,622.4114
324,943.5976,629.9227
328,953.4939,618.7592
332,908.0277,610.8485000000001
336,909.7978,627.1966
340,931.6718,599.0427999999999
344,935.02,594.2779
348,926.3377,606.9085
352,921.2156,621.8339
356,922.9401,595.4646
360,911.5743,614.8468
364,915.9334,600.7717
368,909.2905,602.6642
372,929.1885,593.4102
376,938.8619,589.8783
380,919.7658,607.8743
384,919.3186,595.55
388,943.382,619.7041
392,914.6633,589.3316
396,918.9583,598.0975
400,923.3344,616.1542
404,945.0901,612.2501
408,897.6173,623.1746
412,920.1143,596.965
416,941.2911,601.7551
420,925.7287,602.5578
424,939.6683,598.7389000000001
