TimeStamp,GazePointX,GazePointY
0,,
4,,
8,,
12,,
16,,
20,,
24,,
28,,
32,,
36,,
40,,
44,,
48,,
52,,
56,,
60,,
64,,
68,,
72,,
76,,
80,,
84,,
88,,
92,,
96,,
100,,
104,,
108,,
112,,
116,,
120,,
124,1004.4074,557.218
128,,
132,1002.9792,565.6061
136,,
140,,
144,992.7358,569.4302
148,,
152,,
156,1001.305,578.1423
160,,
164,,
168,1001.8898,562.1553
172,,
176,,
180,1003.3483,577.8860999999999
184,989.4742,568.2373
188,989.2114,564.5581
192,990.5266,572.6033
196,994.862,589.023
200,987.6425,582.7822
204,1001.7213,568.0905
208,1001.5572,566.9626
212,998.0964,559.2209
216,1002.0185,556.4292
220,999.7054,549.0089
224,994.6231,538.7854
228,998.1111,543.6154
232,1014.0877,549.9758
236,1004.1547,544.5664
240,1014.0309,548.4072
244,991.1398,544.8411
248,999.3355,553.2509
252,999.6333,540.0515
256,1001.4052,546.4761
260,998.8103,556.6711
264,1001.4958,566.4873
268,992.1417,566.5432
272,1002.9922,576.1955
276,998.2107,571.9726
280,997.1784,577.2865
284,997.1139,569.1972
288,1002.0202,574.7213
292,1009.9745,580.0618
296,1003.1697,568.6408
300,1001.6343,568.3463
304,1005.0501,578.9524
308,1009.7243,567.9431
312,,
316,1005.1139,570.3496
320,991.4896,584.5877
324,1004.1625,564.5913
328,,
332,1019.2592,579.0392
336,1014.892,585.6294
340,998.9079,572.7392
344,1010.0569,564.9528
348,1007.0598,576.4484
352,1002.4726,555.4194
356,1004.5061,579.1228
360,1011.142,590.9733
364,1006.2455,557.6833
368,1006.3206,556.8585
372,1008.1786,571.5721
376,1010.559,559.3786
380,1005.2232,560.604
384,1001.5065,575.085
388,993.5124,548.1537
392,1003.453,583.2053
396,989.6048,559.936
400,999.2057,576.1601
404,997.2676,552.8915
408,1001.5097,567.5942
412,1003.9541,573.1854
416,1004.4791,560.8098
420,1006.4059,531.2315
424,1003.4929,567.0698
428,1014.5397,543.4343
