TimeStamp,GazePointX,GazePointY
0,,
4,,
8,,
12,,
16,,
20,,
24,,
28,,
32,,
36,,
40,,
44,,
48,,
52,,
56,,
60,,
64,,
68,,
72,,
76,981.6378,486.5731
80,950.15,478.192
84,,
88,,
92,,
96,,
100,,
104,,
108,,
112,,
116,,
120,,
124,,
128,,
132,,
136,,
140,,
144,,
148,,
152,,
156,951.7968,506.6196
160,,
164,939.0594,475.4549
168,956.6213,476.7196
172,972.7826,477.8117
176,967.7687,487.975
180,963.2848,495.9258
184,985.2006,494.5105
188,970.7798,501.2466
192,969.8091,482.8144
196,963.8157,476.7876
200,988.3374,487.9192
204,956.2703,506.6374
208,974.7795,477.8511
212,964.7496,495.8985
216,995.799,482.4774
220,967.4704,493.4345
224,976.7317,499.3842
228,964.2173,478.9854
232,989.938,490.1478
236,959.4854,491.2537
240,964.9205,473.5127
244,971.7881,495.2307
248,967.2075,477.1673
252,967.3571,490.9547
256,970.5367,497.4844
260,973.8307,489.3776
264,973.5359,496.8188
268,977.2592,491.9365
272,973.9017,501.6602
276,956.7341,504.7975
280,988.5426,508.9618
284,962.5874,506.5242
288,967.1927,500.5021
292,982.4339,505.1261
296,985.3187,511.0727
300,977.7966,516.2143
304,970.9517,505.0301
308,969.1802,506.7778
312,970.8053,499.7786
316,974.5547,510.8466
320,976.845,505.8665
324,968.3805,496.2268
328,962.5371,510.4555
332,959.9399,502.7682
336,970.3926,499.7722
340,967.3652,510.5541
344,975.437,513.9698
348,968.494,499.6899
352,960.2499,496.3559
356,966.5798,498.4564
360,979.0883,507.9288
364,974.9657,512.1784
368,966.46,502.9503
372,962.7884,508.5107
376,977.5976,504.6987
380,977.7033,508.3676
384,968.883,494.998
388,966.9485,508.6748
392,971.6835,501.0239
396,978.3148,502.8619
400,965.3855,507.2347
404,987.7141,502.5023
408,965.9935,497.3901
412,974.797,494.4965
416,973.3762,494.3723
420,979.0254,501.6878
424,984.2418,497.8646
428,967.4136,502.5836
432,964.1155,506.3985
436,981.3165,506.1915
