TimeStamp,GazePointX,GazePointY
0,,
4,,
8,,
12,,
16,,
20,,
24,,
28,,
32,,
36,,
40,,
44,,
48,,
52,,
56,,
60,,
64,,
68,,
72,,
76,,
80,,
84,,
88,,
92,968.3023,591.2744
96,982.3105,595.5132
100,974.7051,578.3474
104,,
108,,
112,979.3681,574.2205
116,,
120,,
124,964.3371,558.5881
128,,
132,,
136,979.4584,547.9801
140,,
144,,
148,968.7723,556.1972
152,,
156,,
160,979.6305,564.9152
164,979.4913,568.1184
168,969.0616,544.5369
172,965.0312,548.1502
176,972.828,572.8745
180,980.1005,580.507
184,968.5185,583.0371
188,971.2752,584.9056
192,941.1471,527.6441
196,971.1746,579.2976
200,968.9801,577.2413
204,978.4002,611.2157
208,952.9833,554.2555
212,958.1306,542.9583
216,957.2676,555.8882
220,978.571,593.6061
224,969.2982,598.2836
228,954.3762,579.2963
232,956.9039,541.1226
236,966.3647,594.9002
240,966.9982,563.9418000000001
244,953.9105,547.7997
248,974.346,559.4363
252,961.265,601.1258
256,945.3314,573.5909
260,971.1757,585.6702
264,961.7137,537.4534
268,961.0702,529.2451
272,960.8967,587.531
276,954.424,573.2494
280,976.0938,608.2595
284,979.2123,596.1059
288,972.4161,572.1459
292,958.4048,578.6398
296,966.457,535.3708
300,964.5231,555.625
304,972.5329,576.4293
308,965.9702,586.7024
312,964.5996,559.15
316,959.8896,550.3213
320,973.0199,546.2468
324,968.3724,540.2544
328,973.7077,561.633
332,966.836,555.6563
336,963.5283,518.6947
340,971.375,552.7559
344,960.6385,525.8919
348,974.7798,594.1038
352,965.5714,544.1696
356,973.1031,565.6371
360,978.708,579.5649
364,961.9103,553.618
368,966.999,525.2886
372,964.6395,599.9511
376,958.9611,514.5977
380,972.2522,578.2268
384,963.0659,565.8474
388,974.3265,590.8232
392,967.8934,532.207
396,963.7705,551.0828
400,966.5487,549.6804
404,975.2315,545.1947
408,968.0667,587.8187
412,967.6994,541.6667
416,962.7619,546.5912
420,976.3644,588.0469
