TimeStamp,GazePointX,GazePointY
0,,
4,,
8,,
12,,
16,,
20,,
24,,
28,,
32,,
36,,
40,,
44,,
48,,
52,,
56,,
60,,
64,,
68,,
72,,
76,,
80,,
84,,
88,,
92,,
96,,
100,,
104,,
108,,
112,,
116,,
120,,
124,,
128,,
132,,
136,,
140,,
144,,
148,,
152,,
156,,
160,,
164,,
168,,
172,,
176,,
180,,
184,,
188,990.9259,526.818
192,,
196,,
200,982.3004,529.0092
204,987.8453,530.7278
208,963.174,530.8673
212,,
216,988.54,526.1229
220,991.7929,528.1537
224,988.6625,520.4387
228,962.1743,532.755
232,965.8879,529.3357
236,968.2353,531.6079
240,969.3815,529.3799
244,963.7344,515.9334
248,961.6411,517.211
252,970.5377,531.8053
256,969.9329,526.9357
260,968.8637,526.1403
264,967.4265,519.8912
268,966.2244,527.861
272,965.4798,530.9744
276,959.5335,512.8881
280,961.642,515.9751
284,,
288,967.2548,503.5803
292,,
296,972.8507,516.6205
300,965.0612,521.2018
304,962.0721,519.7735
308,945.7425,536.5531
312,961.9573,532.8887
316,958.065,541.2646
320,952.8581,549.8943
324,958.5764,549.2053
328,954.3117,552.0261
332,957.6451,550.6766
336,961.3808,563.8844
340,964.5514,569.3216
344,969.1852,575.1073
348,979.0677,575.1427
352,979.392,570.5951
356,972.6802,568.5883
360,971.7391,573.5513
364,979.8947,580.9873
368,985.581,576.3697999999999
372,971.4356,589.3326
376,977.0313,577.0995
380,979.8293,561.8298
384,977.773,562.0264999999999
388,954.8098,569.3535
392,973.7677,553.8713
396,977.6708,566.5888
400,982.7162,554.0801
404,977.6212,556.2521
408,975.2456,556.6645
412,969.112,554.5492
416,,
420,966.5527,555.641
424,,
428,981.5221,544.2398
432,979.2118,544.9571
436,974.8215,551.3543
440,973.8137,547.8377
444,977.2744,529.1658
448,975.5998,548.5399
452,972.1745,548.2095
456,973.2437,544.9259
460,981.927,543.1505
464,973.3284,538.2193
468,982.0018,546.2214
472,983.602,548.9234
476,983.9654,535.421
