TimeStamp,GazePointX,GazePointY
0,,
4,,
8,,
12,,
16,,
20,,
24,,
28,,
32,,
36,,
40,,
44,,
48,,
52,,
56,,
60,,
64,,
68,,
72,,
76,861.0251,715.9288
80,870.9806,711.4479
84,860.9038,723.7636
88,,
92,,
96,,
100,,
104,,
108,875.5251,732.7125
112,,
116,,
120,,
124,,
128,,
132,,
136,872.9426,714.829
140,,
144,,
148,,
152,,
156,868.7279,730.4936
160,,
164,869.6822999999999,723.207
168,881.1652,716.6756
172,879.7456999999999,725.1836000000001
176,859.5842,737.3398
180,865.1119,723.9988
184,868.0875,750.1737
188,834.716,750.0156
192,840.3755,744.4212
196,849.1066,723.6634
200,859.5558,730.2438
204,867.8003,727.4519
208,892.8566,735.1460999999999
212,848.3243,711.1998
216,861.3081999999999,727.8876
220,858.5071,747.0255
224,871.982,748.2588000000001
228,870.3589,753.3859
232,861.208,740.7811
236,852.0864,725.4768
240,853.5493,723.9591
244,868.9822,735.915
248,875.3768,744.1816
252,866.4062,754.441
256,868.7513,723.3254
260,875.3743,727.8624
264,848.0726999999999,760.4001000000001
268,860.2066,731.0897
272,867.4617,757.7622
276,879.6338,740.7130999999999
280,845.9431,752.4593
284,863.8058,767.2098
288,887.3483,759.9478
292,883.2616,758.4213
296,867.2134,748.4454000000001
300,850.8013,761.5463
304,847.2778,777.6021000000001
308,838.5479,771.9745
312,861.3301,769.7517
316,881.5371,779.2447999999999
320,867.337,764.5021
324,867.396,763.406
328,874.3188,762.2341
332,853.0848,775.8718
336,860.554,769.2199
340,864.5804,757.3461
344,878.4996,758.5019
348,837.6102,771.5373
352,872.7948,757.8845
356,643.5822000000001,674.8775
360,848.7225,757.7043
364,649.1293000000001,653.6869
368,861.7707,751.9344
372,848.4299,749.6341
376,849.1707,771.2556
380,779.0565,753.7311
384,876.812,759.654
388,861.3666000000001,770.3578
392,839.4064,774.981
396,884.8642,781.0223
400,855.5804,755.6433
404,873.4729,744.7185
408,838.0725,760.8743
412,848.716,773.1731
