TimeStamp,GazePointX,GazePointY
0,,
4,,
8,,
12,,
16,,
20,,
24,,
28,,
32,,
36,,
40,,
44,,
48,,
52,,
56,,
60,,
64,,
68,,
72,,
76,,
80,,
84,,
88,,
92,993.6316,599.5191
96,997.7637,585.6163
100,,
104,963.8666,587.058
108,,
112,,
116,947.696,603.1381
120,,
124,,
128,949.6825,580.7609
132,,
136,,
140,970.8643,624.0577
144,,
148,,
152,,
156,,
160,,
164,944.1684,571.8041
168,,
172,945.3297,578.9686
176,914.7271,574.7609
180,949.3957,585.9478
184,926.1897,584.8855
188,889.3069,569.8331000000001
192,941.4436,587.4488
196,937.5548,594.4927
200,907.5294,583.4989
204,967.4462,600.1999
208,962.7864,613.2773
212,958.0632,602.0883
216,1026.6529,602.6032
220,1136.7912,704.0593
224,1107.8443,714.3015
228,1150.3634,690.9579
232,1119.2445,680.6577
236,1130.3423,675.2805
240,1137.0461,684.8554
244,1117.257,683.2719
248,,
252,1126.5786,678.9968
256,1131.4178,699.2121
260,1137.7989,678.0509999999999
264,1089.9386,700.7101
268,1137.6077,673.895
272,1140.34,716.029
276,1128.8592,628.4969
280,1132.4364,691.605
284,,
288,1128.4571,662.889
292,1167.1551,670.4183
296,1147.7593,669.4585999999999
300,1153.4809,693.9685
304,1171.5916,684.5915
308,1187.8659,745.9501
312,1148.5611,677.0387000000001
316,1158.9264,687.7636
320,1127.2426,704.3551
324,1133.5416,608.1985999999999
328,1175.9049,756.8157
332,1164.8538,689.2324
336,1143.0997,682.8378
340,1156.7348,720.894
344,1150.0081,686.1956
348,1145.2992,677.6842
352,1157.2508,749.0294
356,1134.3514,676.306
360,1161.622,698.673
364,1125.1714,672.4168
368,1121.4497,693.4163
372,1170.0597,694.4569
376,1134.5273,665.7136
380,1151.6077,703.0672999999999
384,1173.4856,697.2787
388,1158.8547,742.6069
392,1145.8081,689.0918
396,1215.2989,605.484
400,1151.0787,671.5218
404,1163.6617,662.7369
408,1161.1794,706.1102
412,1140.9174,695.7257
