TimeStamp,GazePointX,GazePointY
0,,
4,,
8,,
12,,
16,,
20,,
24,,
28,,
32,,
36,,
40,,
44,,
48,,
52,,
56,,
60,,
64,,
68,,
72,,
76,,
80,,
84,,
88,,
92,,
96,,
100,,
104,,
108,,
112,,
116,,
120,,
124,,
128,,
132,,
136,,
140,,
144,,
148,,
152,,
156,,
160,998.4124,547.3432
164,,
168,,
172,,
176,,
180,1023.3218,561.4883
184,,
188,1002.9059,536.8908
192,1025.5046,500.3327
196,996.5232,509.1961
200,1020.4835,592.3116
204,1012.2433,536.1654
208,,
212,,
216,1023.363,599.8094
220,,
224,1024.3231,546.8065
228,1016.3481,556.7243
232,1029.9562,585.1272
236,381.991,501.5987
240,1013.4675,545.3568
244,2526.0081,452.4297
248,1015.8968,601.1595
252,1005.812,604.322
256,995.5718,565.0309
260,998.9325,557.077
264,949.2826,570.0878
268,915.7983,542.6168
272,888.2592,486.7211
276,887.7344,518.7642
280,,
284,906.815,517.4647
288,,
292,938.3025,490.7439
296,876.6412,555.6432
300,931.2983,454.0148
304,904.3425,476.2622
308,868.484,518.4118
312,885.7098,461.6492
316,1612.8907,460.5999
320,884.8961,557.6206
324,882.051,543.5513
328,,
332,895.3654,543.1887
336,885.5785,528.9379
340,907.4349,474.8142
344,855.3304,579.6059
348,879.9619,564.1388
352,,
356,893.4219,543.9485
360,928.5879,460.7776
364,881.5984,524.041
368,,
372,895.8473,544.5977
376,903.335,526.2301
380,902.5082,549.1882
384,889.8744,555.8985
388,863.6511,553.9816
392,868.1894,568.6051
396,902.8316,569.2307
400,,
404,935.9841,496.8753
408,935.4514,563.5141
412,,
416,936.145,492.8205
420,924.6324,483.6098
424,890.0964,560.1905
428,927.7866,514.983
432,,
436,919.1354,558.1185
440,935.2049,516.556
444,921.3247,485.4402
448,937.7963,496.8364
452,893.8631,557.864
456,921.8957,489.6632
460,,
464,885.2524,567.3288
468,881.1721,542.502
472,880.3058,536.5901
476,829.0421,575.9406
480,,
484,934.8985,520.7953
