TimeStamp,GazePointX,GazePointY
0,,
4,,
8,,
12,,
16,,
20,,
24,,
28,,
32,,
36,,
40,,
44,,
48,,
52,,
56,,
60,,
64,,
68,,
72,,
76,902.4647,482.463
80,,
84,,
88,,
92,,
96,,
100,,
104,,
108,,
112,,
116,,
120,,
124,,
128,,
132,,
136,,
140,,
144,,
148,,
152,,
156,,
160,,
164,959.5247,533.5835
168,,
172,,
176,956.773,936.2699
180,,
184,,
188,994.537,594.5392
192,915.1583,464.8162
196,989.1224,688.4977
200,945.9227,533.7279
204,957.4152,537.8475
208,964.6801,523.3364
212,,
216,959.5449,515.7361
220,966.0648,509.6125
224,947.5178,523.8993
228,970.85,535.8491
232,949.7706,532.5932
236,948.9181,538.0785
240,963.0244,541.4542
244,942.0965,546.2332
248,952.6307,532.528
252,952.1296,528.5279
256,949.7931,536.173
260,927.2248,573.292
264,946.1209,552.8004
268,932.8817,545.1162
272,950.6238,521.1348
276,957.4712,527.7322
280,942.674,537.7361
284,936.3306,540.716
288,951.7212,531.8785
292,949.6504,526.714
296,953.0638,535.7252
300,957.418,530.436
304,949.8058,533.6573
308,956.3432,520.514
312,955.1492,532.6353
316,943.7028,520.5534
320,943.0073,530.9114
324,953.9466,526.4594
328,953.5592,503.3443
332,934.4974,530.1815
336,958.5562,494.2677
340,940.7096,535.0862
344,952.0546,523.0553
348,939.4532,537.7896
352,946.2609,534.6639
356,949.4754,524.2494
360,934.3305,545.2334
364,953.6624,519.7043
368,943.7783,546.8474
372,946.7839,538.0973
376,958.1046,510.843
380,953.011,534.0977
384,955.2408,534.4163
388,951.8396,534.4247
392,955.3618,537.6479
396,958.6624,526.3799
400,953.3713,526.8867
404,949.2412,529.4667
408,954.939,530.2601
412,956.7166,535.6849
416,950.2368,528.7924
420,946.1185,533.3107
424,952.8092,523.4337
428,946.0476,530.2026
432,947.8226,529.8879
436,948.3284,524.296
440,940.9903,536.4635
444,952.8484,529.9367
448,948.0605,523.6117
452,944.4522,530.5084
456,959.712,524.7396
