TimeStamp,GazePointX,GazePointY
0,,
4,,
8,,
12,,
16,,
20,,
24,,
28,,
32,,
36,,
40,,
44,,
48,,
52,,
56,,
60,,
64,,
68,,
72,,
76,,
80,,
84,,
88,,
92,1005.0482,544.2732
96,998.5237,557.5462
100,,
104,,
108,,
112,,
116,,
120,,
124,,
128,,
132,,
136,,
140,,
144,,
148,,
152,,
156,,
160,999.5337,534.2331
164,,
168,1002.2207,539.6844
172,1005.497,551.6312
176,1012.0243,533.8383
180,988.3232,557.3078
184,1001.8481,541.3806
188,991.9441,561.509
192,1014.3827,534.9011
196,985.8005,536.6946
200,990.0382,543.5526
204,1001.4027,544.0298
208,981.8436,550.1727
212,981.4944,538.9787
216,976.5778,552.553
220,982.8311,562.7075
224,1006.3015,537.2837
228,975.9071,563.1224
232,988.4106,530.8371
236,1005.8965,547.7917
240,989.3043,536.3583
244,994.4885,546.6336
248,1009.1486,540.551
252,993.22,550.7456
256,990.2792,558.6997
260,973.2802,573.6734
264,978.9737,564.1043
268,990.7491,568.1494
272,985.1886,582.8309
276,1002.4687,560.0244
280,986.6426,563.5937
284,999.341,587.4515
288,995.2505,562.7723
292,1035.6523,698.2054
296,1174.6786,951.8818
300,1045.2302,1211.1347
304,,
308,,
312,,
316,,
320,,
324,,
328,,
332,,
336,,
340,,
344,,
348,,
352,,
356,,
360,,
364,,
368,,
372,,
376,,
380,,
384,,
388,,
392,,
396,,
400,979.4838,1148.7279
404,995.362,1005.5349
408,955.5062,997.9483
412,1000.0658,920.4577
416,968.3208,874.2623
420,1043.5374,789.3424
424,1061.699,751.5741
428,1025.4854,698.5283
432,1000.8277,639.1798
436,1015.584,608.4498
440,1007.3767,612.6746
444,1001.912,555.3487
448,1022.9125,531.4146
452,1003.2452,524.438
456,1015.6517,541.4976
460,1027.2644,480.9887
464,1006.2839,545.366
468,1026.464,530.0685
472,1012.0957,553.2856
476,1039.1509,556.3822
480,1014.7581,548.0282
484,991.5472,574.8156
488,1021.1308,553.357
