TimeStamp,GazePointX,GazePointY
0,,
4,,
8,,
12,,
16,,
20,,
24,,
28,,
32,,
36,,
40,,
44,,
48,,
52,,
56,,
60,,
64,,
68,,
72,,
76,,
80,,
84,,
88,,
92,986.431,541.9951
96,984.1846,525.4275
100,,
104,973.069,537.4758
108,,
112,,
116,990.6993,540.1267
120,,
124,,
128,976.0924,552.0282
132,,
136,,
140,981.9708,557.6486
144,,
148,,
152,970.4329,559.9018
156,,
160,,
164,990.694,547.2229
168,977.3417,571.7139
172,966.4472,560.5915
176,972.0424,552.7227
180,977.8892,553.7211
184,974.2274,558.6946
188,973.0296,551.6277
192,972.6296,554.0357
196,971.5231,552.362
200,977.6042,548.5744
204,972.2951,567.9564
208,977.8079,547.8339
212,968.8691,556.7879
216,970.2763,557.5939
220,971.8476,555.8312
224,978.4125,550.2968
228,964.2264,544.9375
232,978.5318,543.9602
236,989.1059,550.8643
240,963.915,555.9766
244,974.1458,550.8015
248,976.7182,528.1487
252,968.4861,536.5416
256,965.5845,579.0487
260,1006.8077,649.7853
264,1100.449,762.7846
268,972.0319,696.7242
272,1139.2612,969.2137
276,1007.2285,1278.6386
280,,
284,,
288,,
292,,
296,,
300,,
304,,
308,,
312,,
316,,
320,,
324,,
328,,
332,,
336,,
340,,
344,,
348,,
352,,
356,,
360,,
364,,
368,1008.5738,1346.0078
372,,
376,991.0426,1106.4256
380,,
384,1024.6093,944.6725
388,870.4818,854.3894
392,876.4425,798.7121999999999
396,1009.9535,879.165
400,1100.1588,810.5539
404,1035.0304,774.0
408,1041.0933,697.3705
412,1050.222,674.6095
416,982.519,620.7405
420,996.3818,609.9342
424,993.2941,502.5626
428,981.7863,578.4096
432,999.6894,547.2751
436,970.4792,574.0046
440,974.9609,558.8823
444,970.3555,552.0147
448,968.9082,526.2304
452,984.8234,513.7402
456,963.0587,519.4886
460,980.8474,522.0756
464,978.6729,524.7588
468,991.1115,533.3816
472,993.1896,534.8034
476,983.5052,540.1323
480,995.3223,546.3053
