TimeStamp,GazePointX,GazePointY
0,,
4,,
8,,
12,,
16,,
20,,
24,,
28,,
32,,
36,,
40,,
44,,
48,,
52,,
56,,
60,,
64,,
68,,
72,,
76,868.6412,550.9111
80,850.4103,567.7755
84,867.8384,545.1474
88,,
92,,
96,850.3211,555.0709
100,,
104,,
108,857.9416,568.7098
112,,
116,,
120,,
124,,
128,,
132,,
136,,
140,,
144,,
148,,
152,,
156,,
160,865.0325,549.0134
164,,
168,860.5319,553.9858
172,866.6532,539.3282
176,870.6111,554.9114
180,867.7188,539.6108
184,860.7221,510.316
188,861.6912,549.6015
192,873.19,535.301
196,874.8148,547.5733
200,876.1866,551.1358
204,862.5366,546.2395
208,888.7382,561.0043000000001
212,866.615,556.3358
216,849.1239,488.0598
220,851.4021,564.2412
224,866.2355,553.0784
228,873.6988,550.4145
232,869.6775,556.6042
236,877.9035,550.187
240,877.0552,552.9136
244,867.5746,546.5964
248,879.0744,554.8586
252,872.5024,561.2443
256,859.1158,561.7434
260,850.3234,558.877
264,854.9039,565.1138
268,858.7155,562.2439
272,862.4809,571.1597
276,865.1182,569.206
280,875.3045999999999,565.4538
284,889.86,561.3398
288,881.4621999999999,577.2995
292,879.4203,570.0786
296,874.6798,563.2986
300,877.0857,562.108
304,888.6479,571.7953
308,871.2984,574.4822
312,867.8131,570.0535
316,866.6822,566.6301
320,848.2477,588.9596
324,866.6264,580.0655
328,852.3994,572.6945
332,858.9005,579.2279
336,842.0550000000001,595.6167
340,862.5856,570.6107
344,865.4299,584.2932
348,861.7195,591.6679
352,858.258,543.7693
356,864.7356,584.1975
360,863.8022,589.4969
364,861.4465,581.9923
368,859.7816,578.8261
372,861.712,588.311
376,863.9167,586.9843
380,870.9682,584.3874
384,869.2566,584.9514
388,857.7281,586.8075
392,865.9551,596.3943
396,870.8619,590.6618
400,868.61,599.3585
404,874.5973,590.1475
408,876.4393,604.1653
412,870.8862,591.7833
416,865.7033,595.671
420,860.2631,603.2008
424,856.3656,603.0581999999999
